Index,Date,Open,High,Low,Close,Volume
Nifty Auto,2020-01-01,8262.50,8276.80,8200.25,8210.10,0
Nifty Auto,2020-01-02,8226.60,8275.05,8206.85,8267.45,0
Nifty Auto,2020-01-03,8261.50,8261.65,8136.80,8168.15,0
Nifty Auto,2020-01-06,8132.65,8134.50,7967.20,7978.75,0
Nifty Auto,2020-01-07,8029.90,8097.70,7961.20,8002.50,0
Nifty Auto,2020-01-08,7921.65,8002.90,7900.80,7942.75,0
Nifty Auto,2020-01-09,8035.45,8165.90,8022.35,8155.25,0
Nifty Auto,2020-01-10,8177.55,8246.70,8147.65,8225.50,0
Nifty Auto,2020-01-13,8244.25,8262.30,8192.05,8235.85,0
Nifty Auto,2020-01-14,8234.20,8297.70,8216.55,8289.30,0
Nifty Auto,2020-01-15,8287.60,8395.70,8246.40,8385.35,0
Nifty Auto,2020-01-16,8385.30,8414.35,8373.65,8395.90,0
Nifty Auto,2020-01-17,8401.95,8463.25,8369.70,8427.60,0
Nifty Auto,2020-01-20,8436.90,8459.45,8343.40,8352.70,0
Nifty Auto,2020-01-21,8321.25,8325.80,8229.30,8245.90,0
Nifty Auto,2020-01-22,8278.55,8294.05,8147.15,8169.15,0
Nifty Auto,2020-01-23,8176.75,8251.85,8145.80,8241.75,0
Nifty Auto,2020-01-24,8246.45,8324.40,8234.95,8274.85,0
Nifty Auto,2020-01-27,8243.35,8347.90,8189.00,8258.15,0
Nifty Auto,2020-01-28,8290.10,8340.45,8125.90,8156.05,0
Nifty Auto,2020-01-29,8200.70,8264.60,8179.25,8220.40,0
Nifty Auto,2020-01-30,8239.65,8267.55,8148.20,8181.45,0
Nifty Auto,2020-01-31,8211.60,8238.75,8072.95,8086.55,0
Nifty Auto,2020-02-01,8069.75,8200.25,7833.10,7880.30,0
Nifty Auto,2020-02-03,7826.00,8016.80,7816.35,7988.35,0
Nifty Auto,2020-02-04,8026.60,8142.10,7997.85,8100.80,0
Nifty Auto,2020-02-05,8138.30,8212.20,8064.70,8131.70,0
Nifty Auto,2020-02-06,8158.80,8189.20,8092.55,8142.15,0
Nifty Auto,2020-02-07,8172.35,8173.60,8042.20,8064.60,0
Nifty Auto,2020-02-10,8065.40,8067.35,7820.30,7860.55,0
Nifty Auto,2020-02-11,7923.00,7969.30,7881.35,7892.40,0
Nifty Auto,2020-02-12,7932.30,7961.10,7905.75,7933.80,0
Nifty Auto,2020-02-13,7930.25,7933.40,7873.75,7914.90,0
Nifty Auto,2020-02-14,7933.60,7977.15,7807.30,7822.20,0
Nifty Auto,2020-02-17,7833.15,7833.60,7742.45,7770.50,0
Nifty Auto,2020-02-18,7758.00,7758.00,7620.50,7692.30,0
Nifty Auto,2020-02-19,7754.35,7769.40,7606.25,7687.35,0
Nifty Auto,2020-02-20,7687.50,7756.35,7667.85,7697.90,0
Nifty Auto,2020-02-24,7644.05,7644.05,7414.00,7429.10,0
Nifty Auto,2020-02-25,7452.75,7485.15,7339.90,7366.00,0
Nifty Auto,2020-02-26,7306.30,7328.20,7178.50,7207.95,0
Nifty Auto,2020-02-27,7200.15,7202.05,7090.45,7178.85,0
Nifty Auto,2020-02-28,7008.10,7017.60,6883.35,6903.95,0
Nifty Auto,2020-03-02,6993.20,7047.60,6813.20,6856.90,0
